pcode,country,buffer.km,N.in.buffer,dist.to.point,name
SA707YB,W92000004,20,11,4.38082028654349,TENBY SURGERY
SY210DA,W92000004,20,9,1.10082722713797,CAEREINION HEALTH CENTRE
CH40FA,W92000004,20,64,0.724860751603836,MARCHES MEDICAL PRACTICE
NP264HA,W92000004,20,48,0.433011248309157,GRAY HILL SURGERY
CF43AG,W92000004,20,188,0.249195937580511,NORTH ROAD MEDICAL PRACTICE
SA133LW,W92000004,20,107,0.291786170170506,CYMMER SURGERY
LL579BX,W92000004,20,29,0.428473277865093,DR LJR PRICE'S PRACTICE
SA129LS,W92000004,20,110,0.975717658067586,CWMAVON HEALTH CENTRE
SY208AE,W92000004,20,7,0.50245726350788,MACHYNLLETH HEALTH CENTRE
CF26BR,W92000004,20,194,0.861225625845456,LLANEDEYRN HEALTH CENTRE
CF35TL,W92000004,20,190,0.824232501056609,LLANRUMNEY MEDICAL GROUP
NP19SQ,W92000004,20,162,2.38022513756212,ST. BRIDES MEDICAL CENTRE
SY162AX,W92000004,20,9,0.216604731453527,KALEIDISCOPE
NPT5QA,W92000004,20,174,0.697089376969172,MALPAS BROOK HEALTH CENTRE
CF829ZU,W92000004,20,255,0.862442280509803,CAERPHILLY LHB
NP122EL,W92000004,20,249,0.481810442917603,CRI C& BG ADULTALCOHOL SE
LL572JY,W92000004,20,29,0.220142923006086,BODNANT SURGERY
NP35DY,W92000004,20,107,0.795762301593551,GLAN RHYD SURGERY
CF454LR,W92000004,20,165,1.58550131331791,ABERCYNON HEALTH CENTRE
NP253EE,W92000004,20,11,0.235390302981879,CASTLE GATE MEDICAL PRACTICE
SA126JF,W92000004,20,103,1.03561798944309,DR YA PATEL'S PRACTICE
LL537DW,W92000004,20,3,5.8613505126145,MEDDYGFA RHYDBACH
CF27RU,W92000004,20,200,0.167676794050168,ST. DAVIDS MEDICAL CENTRE
LL185TF,W92000004,20,45,0.780503930112186,GP CENTRAL OOH SERVICE
NP224JH,W92000004,20,131,0.921182701234693,GLAN YR AFON SURGERY
NP121AA,W92000004,20,219,0.872759009911715,CRI C& BG ADULTALCOHOL SE
CF104PH,W92000004,20,158,0.81351938544585,BUTETOWN MEDICAL PRACTICE
SA106BR,W92000004,20,109,0.326386233071333,SKEWEN MEDICAL CENTRE
CF14JS,W92000004,20,167,0.487898035833737,BRO TAF DEPUTY
CF643NP,W92000004,20,129,0.211904683475779,REDLANDS SURGERY
LL552LT,W92000004,20,30,0.538256386904181,TEAM (WEST) SPC
SY100JH,W92000004,20,7,6.73954489961184,LLANFYLLIN MEDICAL CENTRE
CF24AY,W92000004,20,176,0.59165685204796,CATHAYS SURGERY
CH71UJ,W92000004,20,69,0.686480261249679,BROMFIELD MEDICAL CENTRE
SY218PJ,W92000004,20,9,5.87370187905235,MONTGOMERY HEALTH CENTRE
CF311PQ,W92000004,20,75,1.47313935343513,NEWCASTLE SURGERY
LL564QQ,W92000004,20,33,1.51580992927855,FELINHELI&PORTHAETHWY SU
LL635TQ,W92000004,20,24,3.77619594393835,THE SURGERY
SY186JF,W92000004,20,8,0.42181845246932,LLANIDLOES PHARMACY
CH48LR,W92000004,20,54,4.79205998149731,MARCHES MEDICAL PRACTICE
LL240BP,W92000004,20,8,0,MEDDYGFA
