lat,long,pcds,ctry,ru11ind,pcode,urban
51.637436,-4.686369,SA70 7YB,W92000004,D2,SA707YB,0
52.641275,-3.315867,SY21 0DA,W92000004,F2,SY210DA,0
53.161049,-3.001674,CH4 0FA,W92000004,E1,CH40FA,0
51.591958,-2.757315,NP26 4HA,W92000004,C1,NP264HA,1
51.501119,-3.197152,CF4 3AG,W92000004,C1,CF43AG,1
51.654297,-3.648079,SA13 3LW,W92000004,C1,SA133LW,1
53.221712,-4.138039,LL57 9BX,W92000004,C1,LL579BX,1
51.616348,-3.772269,SA12 9LS,W92000004,D1,SA129LS,0
52.590308,-3.852759,SY20 8AE,W92000004,D2,SY208AE,0
51.51224,-3.164299,CF2 6BR,W92000004,C1,CF26BR,1
51.52081,-3.117068,CF3 5TL,W92000004,C1,CF35TL,1
51.536144,-3.010634,NP1 9SQ,W92000004,E1,NP19SQ,0
52.516417,-3.316598,SY16 2AX,W92000004,C2,SY162AX,1
51.601784,-3.010648,NPT 5QA,W92000004,C1,NPT5QA,1
51.643924,-3.250858,CF82 9ZU,W92000004,C1,CF829ZU,1
51.655168,-3.197911,NP12 2EL,W92000004,C1,NP122EL,1
53.225476,-4.140204,LL57 2JY,W92000004,C1,LL572JY,1
51.802199,-3.210913,NP3 5DY,W92000004,C1,NP35DY,1
51.657033,-3.341371,CF45 4LR,W92000004,D1,CF454LR,0
51.811478,-2.71627,NP25 3EE,W92000004,C1,NP253EE,1
51.590893,-3.808654,SA12 6JF,W92000004,C1,SA126JF,1
52.824638,-4.504322,LL53 7DW,W92000004,D2,LL537DW,0
51.524125,-3.144422,CF2 7RU,W92000004,C1,CF27RU,1
53.269458,-3.507422,LL18 5TF,W92000004,D1,LL185TF,0
51.76358,-3.235166,NP22 4JH,W92000004,C1,NP224JH,1
51.665392,-3.19432,NP12 1AA,W92000004,C1,NP121AA,1
51.464801,-3.16322,CF10 4PH,W92000004,C1,CF104PH,1
51.65695,-3.841109,SA10 6BR,W92000004,C1,SA106BR,1
51.482416,-3.17938,CF1 4JS,W92000004,C1,CF14JS,1
51.434971,-3.189566,CF64 3NP,W92000004,C1,CF643NP,1
53.134674,-4.265318,LL55 2LT,W92000004,D1,LL552LT,0
52.825245,-3.300865,SY10 0JH,W92000004,E2,SY100JH,0
51.489593,-3.181006,CF2 4AY,W92000004,C1,CF24AY,1
53.166032,-3.12988,CH7 1UJ,W92000004,C1,CH71UJ,1
52.599614,-3.204352,SY21 8PJ,W92000004,F2,SY218PJ,0
51.520343,-3.577411,CF31 1PQ,W92000004,C1,CF311PQ,1
53.187345,-4.197533,LL56 4QQ,W92000004,D1,LL564QQ,0
53.233569,-4.453945,LL63 5TQ,W92000004,F2,LL635TQ,0
52.448077,-3.533851,SY18 6JF,W92000004,D2,SY186JF,0
53.176858,-2.924224,CH4 8LR,W92000004,C1,CH48LR,1
53.091713,-3.819275,LL24 0BP,W92000004,E2,LL240BP,0
51.469349,-3.197336,CF11 8EJ,W92000004,C1,CF118EJ,1
51.611353,-2.957801,NP18 1BA,W92000004,D1,NP181BA,0
51.418876,-3.385095,CF6 9AP,W92000004,E1,CF69AP,0
51.744837,-3.466727,CF44 0DJ,W92000004,C1,CF440DJ,1
51.490694,-3.160869,CF2 3PU,W92000004,C1,CF23PU,1
53.160136,-3.472028,LL16 5PF,W92000004,F1,LL165PF,0
53.007243,-3.050315,LL14 2ET,W92000004,C1,LL142ET,1
51.673547,-3.803615,SA10 8DU,W92000004,C1,SA108DU,1
52.360725,-4.09043,SY23 4DQ,W92000004,E2,SY234DQ,0
53.267569,-3.934073,LL34 6NE,W92000004,D1,LL346NE,0
52.016796,-4.82822,SA42 0LU,W92000004,D2,SA420LU,0
51.535235,-3.441713,CF7 9XP,W92000004,D1,CF79XP,0
51.602527,-3.341193,CF37 2SR,W92000004,C1,CF372SR,1
51.504393,-3.204053,CF14 3HW,W92000004,C1,CF143HW,1
51.611591,-3.003601,NP20 6WR,W92000004,C1,NP206WR,1
52.015162,-3.379818,LD3 9TL,W92000004,F2,LD39TL,0
51.799739,-3.182365,NP23 4TN,W92000004,C1,NP234TN,1
51.613727,-3.817274,SA12 7BT,W92000004,C1,SA127BT,1
51.63722,-3.242885,CF8 7FA,W92000004,C1,CF87FA,1
51.85085,-4.305571,SA32 7YF,W92000004,C2,SA327YF,1
51.591805,-3.195969,CF83 8AF,W92000004,C1,CF838AF,1
53.301889,-4.619719,LL65 2GB,W92000004,C2,LL652GB,1
51.671818,-4.155724,SA15 2HT,W92000004,C1,SA152HT,1
51.926038,-4.993677,SA62 5SQ,W92000004,E2,SA625SQ,0
51.664225,-3.02677,NP44 1RY,W92000004,C1,NP441RY,1
53.273216,-3.215348,CH8 7BB,W92000004,C1,CH87BB,1
53.327404,-3.470033,LL18 3PP,W92000004,C1,LL183PP,1
51.855132,-4.094004,SA32 8JH,W92000004,F1,SA328JH,0
51.448575,-3.186077,CF11 0SF,W92000004,C1,CF110SF,1
51.750079,-3.415038,CF48 1PW,W92000004,C1,CF481PW,1
51.688254,-4.170019,SA15 3DU,W92000004,C1,SA153DU,1
53.313828,-3.814839,LL30 1PG,W92000004,C1,LL301PG,1
51.521099,-3.263978,CF4 8RF,W92000004,C1,CF48RF,1
51.481196,-3.171039,CF95 1AF,W92000004,C1,CF951AF,1
52.511308,-3.307928,SY16 1NG,W92000004,C2,SY161NG,1
53.007312,-3.299583,LL21 9LE,W92000004,E1,LL219LE,0
51.657176,-3.803948,SA11 1WT,W92000004,C1,SA111WT,1
52.820467,-4.123032,LL45 2PQ,W92000004,F2,LL452PQ,0
51.830074,-4.763329,SA67 8HG,W92000004,F2,SA678HG,0
51.692998,-4.946483,SA72 6JR,W92000004,D1,SA726JR,0
51.701432,-3.900527,SA6 5HY,W92000004,C1,SA65HY,1
51.951725,-3.560026,LD3 8RP,W92000004,F2,LD38RP,0
53.386474,-4.461601,LL68 0SD,W92000004,E2,LL680SD,0
51.574216,-3.217918,CF83 1UD,W92000004,C1,CF831UD,1
51.47969,-3.18219,CF1 1DA,W92000004,C1,CF11DA,1
51.587639,-2.733745,NP6 4YW,W92000004,C1,NP64YW,1
51.533832,-3.129065,CF23 8NZ,W92000004,C1,CF238NZ,1
51.508088,-3.218949,CF4 1NA,W92000004,C1,CF41NA,1
53.181585,-2.937898,CH4 8RS,W92000004,C1,CH48RS,1
51.529767,-3.695218,CF33 6BG,W92000004,C1,CF336BG,1
52.412213,-3.582949,SY18 6SJ,W92000004,E2,SY186SJ,0
52.76015,-3.076413,SY22 6NP,W92000004,E2,SY226NP,0
51.781356,-3.386748,CF48 2TS,W92000004,F1,CF482TS,0
53.333497,-3.426511,LL19 7PY,W92000004,C1,LL197PY,1
51.708934,-5.043849,SA73 3BX,W92000004,C1,SA733BX,1
51.626035,-4.032318,SA2 7TB,W92000004,C1,SA27TB,1
51.722132,-3.124804,NP3 2QF,W92000004,C1,NP32QF,1
53.145964,-3.047717,CH4 0JS,W92000004,D1,CH40JS,0
51.647984,-3.923586,SA1 5YA,W92000004,C1,SA15YA,1
51.644469,-3.986152,SA5 4DG,W92000004,C1,SA54DG,1
53.167506,-3.14401,CH7 5YR,W92000004,C1,CH75YR,1
51.513559,-3.194999,CF14 4JN,W92000004,C1,CF144JN,1
51.604033,-2.904711,NP18 2NN,W92000004,C1,NP182NN,1
51.483608,-3.223624,CF5 9ER,W92000004,C1,CF59ER,1
51.722697,-3.461439,CF44 8LA,W92000004,C1,CF448LA,1
51.803946,-3.215906,NP23 5US,W92000004,C1,NP235US,1
51.811289,-3.030392,NP7 9FF,W92000004,C1,NP79FF,1
53.011039,-3.378157,LL21 9DQ,W92000004,F1,LL219DQ,0
51.581412,-2.974114,NP9 0GN,W92000004,C1,NP90GN,1
51.698247,-3.418311,CF44 8XT,W92000004,C1,CF448XT,1
51.481704,-3.16064,CF2 1HR,W92000004,C1,CF21HR,1
51.657768,-3.178145,NP2 2AN,W92000004,C1,NP22AN,1
51.631028,-3.449618,CF40 2LW,W92000004,C1,CF402LW,1
53.184089,-4.208816,LL57 1HA,W92000004,D1,LL571HA,0
51.493756,-3.190793,CF10 3DW,W92000004,C1,CF103DW,1
51.543905,-3.377194,CF7 8DE,W92000004,C1,CF78DE,1
51.516365,-3.250963,CF15 8AE,W92000004,C1,CF158AE,1
51.494175,-3.172481,CF2 4SH,W92000004,C1,CF24SH,1
51.650871,-3.010337,NP44 8TP,W92000004,C1,NP448TP,1
51.478993,-3.705978,CF36 3XR,W92000004,C1,CF363XR,1
53.227272,-4.521647,LL64 5UX,W92000004,D2,LL645UX,0
51.713839,-4.039539,SA4 8RE,W92000004,D1,SA48RE,0
51.660663,-2.80575,NP16 6AR,W92000004,F1,NP166AR,0
51.648278,-3.637424,SA13 3NY,W92000004,C1,SA133NY,1
52.917065,-4.17827,LL49 9YH,W92000004,E2,LL499YH,0
51.549465,-3.393717,CF72 8TF,W92000004,E1,CF728TF,0
51.628689,-3.228218,CF82 9BP,W92000004,C1,CF829BP,1
51.491295,-3.149087,CF24 1RS,W92000004,C1,CF241RS,1
51.409435,-3.451843,CF6 9NH,W92000004,C1,CF69NH,1
51.558869,-3.263583,CF4 7TP,W92000004,C1,CF47TP,1
51.587396,-2.820605,NP26 3YX,W92000004,D1,NP263YX,0
53.317763,-4.647179,LL65 1YE,W92000004,C2,LL651YE,1
52.061814,-4.704684,SA43 3NS,W92000004,F2,SA433NS,0
51.589771,-3.319566,CF37 5BT,W92000004,C1,CF375BT,1
52.917701,-4.028676,LL47 6YT,W92000004,E2,LL476YT,0
51.602897,-3.341854,CF37 2BL,W92000004,C1,CF372BL,1
51.669997,-3.945445,SA99 1ZU,W92000004,C1,SA991ZU,1
51.405028,-3.270838,CF6 6ST,W92000004,C1,CF66ST,1
53.204377,-4.167847,LL57 2QF,W92000004,C1,LL572QF,1
52.765112,-3.270837,SY22 5BB,W92000004,D2,SY225BB,0
51.617833,-3.986708,SA2 9AQ,W92000004,C1,SA29AQ,1
51.673198,-4.92075,SA71 4LJ,W92000004,D1,SA714LJ,0
51.826671,-5.03389,SA62 6ED,W92000004,F2,SA626ED,0
51.570643,-3.323661,CF38 1AE,W92000004,C1,CF381AE,1
51.853537,-4.303393,SA31 2BR,W92000004,C2,SA312BR,1
51.517309,-3.145375,CF23 9NS,W92000004,C1,CF239NS,1
53.25291,-3.133951,CH6 5XA,W92000004,C1,CH65XA,1
51.487997,-3.1608,CF2 3QN,W92000004,C1,CF23QN,1
51.666434,-3.210181,NP2 1LS,W92000004,C1,NP21LS,1
51.601381,-3.3423,CF37 2TU,W92000004,C1,CF372TU,1
53.171404,-3.107311,CH7 6TZ,W92000004,C1,CH76TZ,1
51.805283,-2.728021,NP5 4EE,W92000004,C1,NP54EE,1
51.801941,-3.819701,SA9 2GR,W92000004,D1,SA92GR,0
51.410043,-3.283483,CF62 8YG,W92000004,C1,CF628YG,1
51.73142,-3.062002,NP4 7PQ,W92000004,C1,NP47PQ,1
51.64938,-4.045244,SA4 3EX,W92000004,C1,SA43EX,1
51.702445,-3.045507,NP4 6HZ,W92000004,C1,NP46HZ,1
51.598767,-3.271043,CF8 2DG,W92000004,D1,CF82DG,0
51.797868,-3.194846,NP3 5QX,W92000004,C1,NP35QX,1
51.592354,-3.778971,SA13 1ZH,W92000004,C1,SA131ZH,1
53.205376,-3.022665,CH5 1TD,W92000004,C1,CH51TD,1
53.190318,-3.404541,LL16 3EQ,W92000004,D1,LL163EQ,0
51.590732,-3.18471,CF83 8BW,W92000004,C1,CF838BW,1
52.757971,-3.078745,SY22 6RG,W92000004,E2,SY226RG,0
51.697611,-3.919309,SA6 5RN,W92000004,F1,SA65RN,0
53.191319,-4.061843,LL57 3EP,W92000004,D1,LL573EP,0
51.855838,-4.310299,SA31 3AN,W92000004,C2,SA313AN,1
